Model,Test,Best Iter,Time,Seed,Run CMD
,"HR@5:0.3910,NDCG@5:0.2947,HR@10:0.4795,NDCG@10:0.3233,HR@20:0.5822,NDCG@20:0.3491,HR@50:0.7699,NDCG@50:0.3862",40,345.8,0,python main.py --model_name SASRec --emb_size 64 --num_layers 1 --num_heads 1 --lr 1e-4 --l2 1e-6 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 0 --gpu 0
,"HR@5:0.3945,NDCG@5:0.2959,HR@10:0.4865,NDCG@10:0.3258,HR@20:0.5893,NDCG@20:0.3517,HR@50:0.7775,NDCG@50:0.3889",38,323.3,1,python main.py --model_name SASRec --emb_size 64 --num_layers 1 --num_heads 1 --lr 1e-4 --l2 1e-6 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 1 --gpu 0
,"HR@5:0.3880,NDCG@5:0.2909,HR@10:0.4818,NDCG@10:0.3212,HR@20:0.5866,NDCG@20:0.3476,HR@50:0.7746,NDCG@50:0.3847",39,326.4,2,python main.py --model_name SASRec --emb_size 64 --num_layers 1 --num_heads 1 --lr 1e-4 --l2 1e-6 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 2 --gpu 0
,"HR@5:0.3936,NDCG@5:0.2958,HR@10:0.4797,NDCG@10:0.3236,HR@20:0.5844,NDCG@20:0.3500,HR@50:0.7760,NDCG@50:0.3878",44,354.2,3,python main.py --model_name SASRec --emb_size 64 --num_layers 1 --num_heads 1 --lr 1e-4 --l2 1e-6 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 3 --gpu 0
,"HR@5:0.3913,NDCG@5:0.2937,HR@10:0.4796,NDCG@10:0.3223,HR@20:0.5850,NDCG@20:0.3488,HR@50:0.7739,NDCG@50:0.3860",41,338.0,4,python main.py --model_name SASRec --emb_size 64 --num_layers 1 --num_heads 1 --lr 1e-4 --l2 1e-6 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 4 --gpu 0
SASRec,"0.3917,0.2942,0.4814,0.3232,0.5855,0.3494,0.7744,0.3867",,,,
,,,,,
,,,,,
,,,,,
,"HR@5:0.4370,NDCG@5:0.3260,HR@10:0.5505,NDCG@10:0.3629,HR@20:0.6498,NDCG@20:0.3881,HR@50:0.7948,NDCG@50:0.4167",70,391.0,0,python main.py --model_name SLRCPlus --emb_size 64 --lr 5e-4 --l2 1e-5 --dataset 'Grocery_and_Gourmet_Food' --random_seed 0 --gpu 0
,"HR@5:0.4392,NDCG@5:0.3272,HR@10:0.5500,NDCG@10:0.3632,HR@20:0.6491,NDCG@20:0.3884,HR@50:0.7974,NDCG@50:0.4176",64,357.6,1,python main.py --model_name SLRCPlus --emb_size 64 --lr 5e-4 --l2 1e-5 --dataset 'Grocery_and_Gourmet_Food' --random_seed 1 --gpu 0
,"HR@5:0.4372,NDCG@5:0.3264,HR@10:0.5536,NDCG@10:0.3643,HR@20:0.6505,NDCG@20:0.3889,HR@50:0.7966,NDCG@50:0.4177",56,326.1,2,python main.py --model_name SLRCPlus --emb_size 64 --lr 5e-4 --l2 1e-5 --dataset 'Grocery_and_Gourmet_Food' --random_seed 2 --gpu 0
,"HR@5:0.4348,NDCG@5:0.3250,HR@10:0.5519,NDCG@10:0.3630,HR@20:0.6513,NDCG@20:0.3882,HR@50:0.7972,NDCG@50:0.4170",63,357.2,3,python main.py --model_name SLRCPlus --emb_size 64 --lr 5e-4 --l2 1e-5 --dataset 'Grocery_and_Gourmet_Food' --random_seed 3 --gpu 0
,"HR@5:0.4396,NDCG@5:0.3270,HR@10:0.5528,NDCG@10:0.3638,HR@20:0.6507,NDCG@20:0.3886,HR@50:0.7971,NDCG@50:0.4175",63,359.3,4,python main.py --model_name SLRCPlus --emb_size 64 --lr 5e-4 --l2 1e-5 --dataset 'Grocery_and_Gourmet_Food' --random_seed 4 --gpu 0
SLRCPlus,"0.4376,0.3263,0.5518,0.3634,0.6503,0.3884,0.7966,0.4173",,,,
,,,,,
,,,,,
,,,,,
,"HR@5:0.3929,NDCG@5:0.2932,HR@10:0.4835,NDCG@10:0.3226,HR@20:0.5926,NDCG@20:0.3500,HR@50:0.7790,NDCG@50:0.3868",37,419.2,0,python main.py --model_name TiSASRec --emb_size 64 --num_layers 1 --num_heads 1 --lr 1e-4 --l2 1e-6 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 0 --gpu 0
,"HR@5:0.3949,NDCG@5:0.2918,HR@10:0.4843,NDCG@10:0.3208,HR@20:0.5877,NDCG@20:0.3469,HR@50:0.7803,NDCG@50:0.3849",36,410.9,1,python main.py --model_name TiSASRec --emb_size 64 --num_layers 1 --num_heads 1 --lr 1e-4 --l2 1e-6 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 1 --gpu 0
,"HR@5:0.3957,NDCG@5:0.2952,HR@10:0.4883,NDCG@10:0.3251,HR@20:0.5910,NDCG@20:0.3510,HR@50:0.7755,NDCG@50:0.3874",38,424.7,2,python main.py --model_name TiSASRec --emb_size 64 --num_layers 1 --num_heads 1 --lr 1e-4 --l2 1e-6 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 2 --gpu 0
,"HR@5:0.3932,NDCG@5:0.2939,HR@10:0.4805,NDCG@10:0.3222,HR@20:0.5863,NDCG@20:0.3488,HR@50:0.7752,NDCG@50:0.3862",45,478.8,3,python main.py --model_name TiSASRec --emb_size 64 --num_layers 1 --num_heads 1 --lr 1e-4 --l2 1e-6 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 3 --gpu 0
,"HR@5:0.3978,NDCG@5:0.2983,HR@10:0.4842,NDCG@10:0.3262,HR@20:0.5899,NDCG@20:0.3529,HR@50:0.7811,NDCG@50:0.3905",46,484.0,4,python main.py --model_name TiSASRec --emb_size 64 --num_layers 1 --num_heads 1 --lr 1e-4 --l2 1e-6 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 4 --gpu 0
TiSASRec,"0.3949,0.2945,0.4842,0.3234,0.5895,0.3499,0.7782,0.3872",,,,
,,,,,
,,,,,
,,,,,
,"HR@5:0.0576,NDCG@5:0.0347,HR@10:0.1117,NDCG@10:0.0520,HR@20:0.2148,NDCG@20:0.0777,HR@50:0.4977,NDCG@50:0.1329",33,315.8,0,python main.py --model_name Chorus --emb_size 64 --margin 1 --lr 5e-4 --l2 1e-5 --epoch 50 --early_stop 0 --batch_size 512 --dataset 'Grocery_and_Gourmet_Food' --stage 1 --random_seed 0 --gpu 0
,"HR@5:0.0601,NDCG@5:0.0365,HR@10:0.1116,NDCG@10:0.0529,HR@20:0.2143,NDCG@20:0.0785,HR@50:0.5079,NDCG@50:0.1358",18,302.1,1,python main.py --model_name Chorus --emb_size 64 --margin 1 --lr 5e-4 --l2 1e-5 --epoch 50 --early_stop 0 --batch_size 512 --dataset 'Grocery_and_Gourmet_Food' --stage 1 --random_seed 1 --gpu 0
,"HR@5:0.0569,NDCG@5:0.0335,HR@10:0.1083,NDCG@10:0.0499,HR@20:0.2103,NDCG@20:0.0755,HR@50:0.5093,NDCG@50:0.1339",39,306.3,2,python main.py --model_name Chorus --emb_size 64 --margin 1 --lr 5e-4 --l2 1e-5 --epoch 50 --early_stop 0 --batch_size 512 --dataset 'Grocery_and_Gourmet_Food' --stage 1 --random_seed 2 --gpu 0
,"HR@5:0.0532,NDCG@5:0.0329,HR@10:0.1054,NDCG@10:0.0495,HR@20:0.2061,NDCG@20:0.0747,HR@50:0.5065,NDCG@50:0.1333",35,306.0,3,python main.py --model_name Chorus --emb_size 64 --margin 1 --lr 5e-4 --l2 1e-5 --epoch 50 --early_stop 0 --batch_size 512 --dataset 'Grocery_and_Gourmet_Food' --stage 1 --random_seed 3 --gpu 0
,"HR@5:0.0575,NDCG@5:0.0352,HR@10:0.1078,NDCG@10:0.0513,HR@20:0.2071,NDCG@20:0.0761,HR@50:0.4902,NDCG@50:0.1314",44,307.4,4,python main.py --model_name Chorus --emb_size 64 --margin 1 --lr 5e-4 --l2 1e-5 --epoch 50 --early_stop 0 --batch_size 512 --dataset 'Grocery_and_Gourmet_Food' --stage 1 --random_seed 4 --gpu 0
Chorus,"0.0571,0.0346,0.1090,0.0511,0.2105,0.0765,0.5023,0.1335",,,,
,,,,,
,,,,,
,,,,,
,"HR@5:0.4658,NDCG@5:0.3407,HR@10:0.5871,NDCG@10:0.3802,HR@20:0.6978,NDCG@20:0.4082,HR@50:0.8588,NDCG@50:0.4401",62,437.8,0,python main.py --model_name Chorus --emb_size 64 --margin 1 --lr_scale 0.1 --lr 1e-3 --l2 0 --dataset 'Grocery_and_Gourmet_Food' --base_method 'BPR' --stage 2 --random_seed 0 --gpu 0
,"HR@5:0.4637,NDCG@5:0.3404,HR@10:0.5866,NDCG@10:0.3804,HR@20:0.6989,NDCG@20:0.4088,HR@50:0.8584,NDCG@50:0.4404",62,447.9,1,python main.py --model_name Chorus --emb_size 64 --margin 1 --lr_scale 0.1 --lr 1e-3 --l2 0 --dataset 'Grocery_and_Gourmet_Food' --base_method 'BPR' --stage 2 --random_seed 1 --gpu 0
,"HR@5:0.4689,NDCG@5:0.3431,HR@10:0.5884,NDCG@10:0.3820,HR@20:0.7004,NDCG@20:0.4102,HR@50:0.8619,NDCG@50:0.4422",54,404.9,2,python main.py --model_name Chorus --emb_size 64 --margin 1 --lr_scale 0.1 --lr 1e-3 --l2 0 --dataset 'Grocery_and_Gourmet_Food' --base_method 'BPR' --stage 2 --random_seed 2 --gpu 0
,"HR@5:0.4660,NDCG@5:0.3409,HR@10:0.5859,NDCG@10:0.3798,HR@20:0.6987,NDCG@20:0.4083,HR@50:0.8591,NDCG@50:0.4401",63,451.3,3,python main.py --model_name Chorus --emb_size 64 --margin 1 --lr_scale 0.1 --lr 1e-3 --l2 0 --dataset 'Grocery_and_Gourmet_Food' --base_method 'BPR' --stage 2 --random_seed 3 --gpu 0
,"HR@5:0.4695,NDCG@5:0.3419,HR@10:0.5859,NDCG@10:0.3796,HR@20:0.7012,NDCG@20:0.4087,HR@50:0.8600,NDCG@50:0.4402",51,386.7,4,python main.py --model_name Chorus --emb_size 64 --margin 1 --lr_scale 0.1 --lr 1e-3 --l2 0 --dataset 'Grocery_and_Gourmet_Food' --base_method 'BPR' --stage 2 --random_seed 4 --gpu 0
Chorus,"0.4668,0.3414,0.5868,0.3804,0.6994,0.4088,0.8596,0.4406",,,,
,,,,,
,,,,,
,,,,,
,"HR@5:0.3742,NDCG@5:0.2662,HR@10:0.4833,NDCG@10:0.3015,HR@20:0.5996,NDCG@20:0.3308,HR@50:0.7965,NDCG@50:0.3697",39,252.8,0,python main.py --model_name ComiRec --emb_size 64 --lr 1e-3 --l2 1e-6 --attn_size 8 --K 4 --add_pos 1 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 0 --gpu 0
,"HR@5:0.3829,NDCG@5:0.2724,HR@10:0.4900,NDCG@10:0.3070,HR@20:0.5984,NDCG@20:0.3343,HR@50:0.7999,NDCG@50:0.3741",44,271.3,1,python main.py --model_name ComiRec --emb_size 64 --lr 1e-3 --l2 1e-6 --attn_size 8 --K 4 --add_pos 1 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 1 --gpu 0
,"HR@5:0.3763,NDCG@5:0.2661,HR@10:0.4865,NDCG@10:0.3019,HR@20:0.6015,NDCG@20:0.3310,HR@50:0.8001,NDCG@50:0.3701",54,312.2,2,python main.py --model_name ComiRec --emb_size 64 --lr 1e-3 --l2 1e-6 --attn_size 8 --K 4 --add_pos 1 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 2 --gpu 0
,"HR@5:0.3764,NDCG@5:0.2690,HR@10:0.4792,NDCG@10:0.3023,HR@20:0.5979,NDCG@20:0.3323,HR@50:0.7997,NDCG@50:0.3721",46,284.2,3,python main.py --model_name ComiRec --emb_size 64 --lr 1e-3 --l2 1e-6 --attn_size 8 --K 4 --add_pos 1 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 3 --gpu 0
,"HR@5:0.3669,NDCG@5:0.2639,HR@10:0.4795,NDCG@10:0.3003,HR@20:0.5932,NDCG@20:0.3290,HR@50:0.7917,NDCG@50:0.3681",54,312.4,4,python main.py --model_name ComiRec --emb_size 64 --lr 1e-3 --l2 1e-6 --attn_size 8 --K 4 --add_pos 1 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 4 --gpu 0
ComiRec,"0.3753,0.2675,0.4837,0.3026,0.5981,0.3315,0.7976,0.3708",,,,
,,,,,
,,,,,
,,,,,
,"HR@5:0.5183,NDCG@5:0.3880,HR@10:0.6293,NDCG@10:0.4240,HR@20:0.7346,NDCG@20:0.4506,HR@50:0.8819,NDCG@50:0.4799",22,385.4,0,python main.py --model_name KDA --emb_size 64 --include_attr 1 --freq_rand 0 --lr 1e-3 --l2 1e-6 --num_heads 4 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 0 --gpu 0
,"HR@5:0.5180,NDCG@5:0.3892,HR@10:0.6304,NDCG@10:0.4257,HR@20:0.7378,NDCG@20:0.4528,HR@50:0.8846,NDCG@50:0.4820",19,359.4,1,python main.py --model_name KDA --emb_size 64 --include_attr 1 --freq_rand 0 --lr 1e-3 --l2 1e-6 --num_heads 4 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 1 --gpu 0
,"HR@5:0.5197,NDCG@5:0.3911,HR@10:0.6295,NDCG@10:0.4268,HR@20:0.7337,NDCG@20:0.4532,HR@50:0.8834,NDCG@50:0.4830",27,435.5,2,python main.py --model_name KDA --emb_size 64 --include_attr 1 --freq_rand 0 --lr 1e-3 --l2 1e-6 --num_heads 4 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 2 --gpu 0
,"HR@5:0.5186,NDCG@5:0.3889,HR@10:0.6297,NDCG@10:0.4250,HR@20:0.7369,NDCG@20:0.4521,HR@50:0.8893,NDCG@50:0.4823",23,402.3,3,python main.py --model_name KDA --emb_size 64 --include_attr 1 --freq_rand 0 --lr 1e-3 --l2 1e-6 --num_heads 4 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 3 --gpu 0
,"HR@5:0.5207,NDCG@5:0.3932,HR@10:0.6264,NDCG@10:0.4273,HR@20:0.7373,NDCG@20:0.4554,HR@50:0.8914,NDCG@50:0.4860",18,351.0,4,python main.py --model_name KDA --emb_size 64 --include_attr 1 --freq_rand 0 --lr 1e-3 --l2 1e-6 --num_heads 4 --history_max 20 --dataset 'Grocery_and_Gourmet_Food' --random_seed 4 --gpu 0
KDA,"0.5191,0.3901,0.6291,0.4258,0.7361,0.4528,0.8861,0.4826",,,,
,,,,,
,,,,,
,,,,,
,"HR@5:0.4249,NDCG@5:0.3281,HR@10:0.5105,NDCG@10:0.3559,HR@20:0.6179,NDCG@20:0.3829,HR@50:0.8152,NDCG@50:0.4218",189,1230.9,0,python main.py --model_name ContraRec --emb_size 64 --lr 1e-4 --l2 1e-6 --history_max 20 --encoder BERT4Rec --gamma 1 --temp 0.2 --batch_size 4096 --dataset 'Grocery_and_Gourmet_Food' --random_seed 0 --gpu 0
,"HR@5:0.4270,NDCG@5:0.3294,HR@10:0.5148,NDCG@10:0.3577,HR@20:0.6254,NDCG@20:0.3856,HR@50:0.8156,NDCG@50:0.4232",169,1157.3,1,python main.py --model_name ContraRec --emb_size 64 --lr 1e-4 --l2 1e-6 --history_max 20 --encoder BERT4Rec --gamma 1 --temp 0.2 --batch_size 4096 --dataset 'Grocery_and_Gourmet_Food' --random_seed 1 --gpu 0
,"HR@5:0.4233,NDCG@5:0.3276,HR@10:0.5109,NDCG@10:0.3559,HR@20:0.6261,NDCG@20:0.3849,HR@50:0.8192,NDCG@50:0.4230",189,1228.1,2,python main.py --model_name ContraRec --emb_size 64 --lr 1e-4 --l2 1e-6 --history_max 20 --encoder BERT4Rec --gamma 1 --temp 0.2 --batch_size 4096 --dataset 'Grocery_and_Gourmet_Food' --random_seed 2 --gpu 0
,"HR@5:0.4243,NDCG@5:0.3281,HR@10:0.5145,NDCG@10:0.3573,HR@20:0.6207,NDCG@20:0.3841,HR@50:0.8122,NDCG@50:0.4219",174,1187.8,3,python main.py --model_name ContraRec --emb_size 64 --lr 1e-4 --l2 1e-6 --history_max 20 --encoder BERT4Rec --gamma 1 --temp 0.2 --batch_size 4096 --dataset 'Grocery_and_Gourmet_Food' --random_seed 3 --gpu 0
,"HR@5:0.4259,NDCG@5:0.3294,HR@10:0.5162,NDCG@10:0.3586,HR@20:0.6247,NDCG@20:0.3859,HR@50:0.8202,NDCG@50:0.4245",193,1225.2,4,python main.py --model_name ContraRec --emb_size 64 --lr 1e-4 --l2 1e-6 --history_max 20 --encoder BERT4Rec --gamma 1 --temp 0.2 --batch_size 4096 --dataset 'Grocery_and_Gourmet_Food' --random_seed 4 --gpu 0
ContraRec,"0.4251,0.3285,0.5134,0.3571,0.6230,0.3847,0.8165,0.4229",,,,
,,,,,
,,,,,
,,,,,
,"HR@5:0.3918,NDCG@5:0.2885,HR@10:0.4875,NDCG@10:0.3195,HR@20:0.5944,NDCG@20:0.3465,HR@50:0.7877,NDCG@50:0.3847",107,790.6,0,python main.py --model_name TiMiRec --emb_size 64 --lr 1e-4 --l2 1e-6 --history_max 20 --K 6 --add_pos 1 --add_trm 1 --stage pretrain --dataset 'Grocery_and_Gourmet_Food' --random_seed 0 --gpu 0
,"HR@5:0.3872,NDCG@5:0.2799,HR@10:0.4874,NDCG@10:0.3124,HR@20:0.5876,NDCG@20:0.3376,HR@50:0.7711,NDCG@50:0.3738",99,774.7,1,python main.py --model_name TiMiRec --emb_size 64 --lr 1e-4 --l2 1e-6 --history_max 20 --K 6 --add_pos 1 --add_trm 1 --stage pretrain --dataset 'Grocery_and_Gourmet_Food' --random_seed 1 --gpu 0
,"HR@5:0.3941,NDCG@5:0.2900,HR@10:0.4906,NDCG@10:0.3213,HR@20:0.5985,NDCG@20:0.3484,HR@50:0.7862,NDCG@50:0.3855",92,736.7,2,python main.py --model_name TiMiRec --emb_size 64 --lr 1e-4 --l2 1e-6 --history_max 20 --K 6 --add_pos 1 --add_trm 1 --stage pretrain --dataset 'Grocery_and_Gourmet_Food' --random_seed 2 --gpu 0
,"HR@5:0.3900,NDCG@5:0.2947,HR@10:0.4808,NDCG@10:0.3240,HR@20:0.5799,NDCG@20:0.3490,HR@50:0.7705,NDCG@50:0.3865",126,951.5,3,python main.py --model_name TiMiRec --emb_size 64 --lr 1e-4 --l2 1e-6 --history_max 20 --K 6 --add_pos 1 --add_trm 1 --stage pretrain --dataset 'Grocery_and_Gourmet_Food' --random_seed 3 --gpu 0
,"HR@5:0.4009,NDCG@5:0.2949,HR@10:0.4956,NDCG@10:0.3257,HR@20:0.6063,NDCG@20:0.3536,HR@50:0.7958,NDCG@50:0.3910",100,816.1,4,python main.py --model_name TiMiRec --emb_size 64 --lr 1e-4 --l2 1e-6 --history_max 20 --K 6 --add_pos 1 --add_trm 1 --stage pretrain --dataset 'Grocery_and_Gourmet_Food' --random_seed 4 --gpu 0
TiMiRec,"0.3928,0.2896,0.4884,0.3206,0.5933,0.3470,0.7823,0.3843",,,,
,,,,,
,,,,,
,,,,,
,"HR@5:0.4063,NDCG@5:0.3087,HR@10:0.4990,NDCG@10:0.3386,HR@20:0.6070,NDCG@20:0.3658,HR@50:0.7955,NDCG@50:0.4030",26,421.5,0,python main.py --model_name TiMiRec --emb_size 64 --lr 1e-4 --l2 1e-6 --history_max 20 --K 6 --add_pos 1 --add_trm 1 --stage finetune --temp 1 --n_layers 1 --check_epoch 10 --dataset 'Grocery_and_Gourmet_Food' --random_seed 0 --gpu 0
,"HR@5:0.3897,NDCG@5:0.2912,HR@10:0.4846,NDCG@10:0.3219,HR@20:0.5947,NDCG@20:0.3497,HR@50:0.7850,NDCG@50:0.3872",34,494.5,1,python main.py --model_name TiMiRec --emb_size 64 --lr 1e-4 --l2 1e-6 --history_max 20 --K 6 --add_pos 1 --add_trm 1 --stage finetune --temp 1 --n_layers 1 --check_epoch 10 --dataset 'Grocery_and_Gourmet_Food' --random_seed 1 --gpu 0
,"HR@5:0.4102,NDCG@5:0.3096,HR@10:0.5081,NDCG@10:0.3413,HR@20:0.6175,NDCG@20:0.3688,HR@50:0.8016,NDCG@50:0.4051",23,395.4,2,python main.py --model_name TiMiRec --emb_size 64 --lr 1e-4 --l2 1e-6 --history_max 20 --K 6 --add_pos 1 --add_trm 1 --stage finetune --temp 1 --n_layers 1 --check_epoch 10 --dataset 'Grocery_and_Gourmet_Food' --random_seed 2 --gpu 0
,"HR@5:0.3870,NDCG@5:0.2884,HR@10:0.4828,NDCG@10:0.3194,HR@20:0.5897,NDCG@20:0.3464,HR@50:0.7840,NDCG@50:0.3847",22,385.7,3,python main.py --model_name TiMiRec --emb_size 64 --lr 1e-4 --l2 1e-6 --history_max 20 --K 6 --add_pos 1 --add_trm 1 --stage finetune --temp 1 --n_layers 1 --check_epoch 10 --dataset 'Grocery_and_Gourmet_Food' --random_seed 3 --gpu 0
,"HR@5:0.4170,NDCG@5:0.3099,HR@10:0.5141,NDCG@10:0.3413,HR@20:0.6220,NDCG@20:0.3685,HR@50:0.8089,NDCG@50:0.4054",12,299.3,4,python main.py --model_name TiMiRec --emb_size 64 --lr 1e-4 --l2 1e-6 --history_max 20 --K 6 --add_pos 1 --add_trm 1 --stage finetune --temp 1 --n_layers 1 --check_epoch 10 --dataset 'Grocery_and_Gourmet_Food' --random_seed 4 --gpu 0
TiMiRec,"0.4020,0.3016,0.4977,0.3325,0.6062,0.3598,0.7950,0.3971",,,,
,,,,,
,,,,,
,,,,,
